"Year","MO_Bab_ACSA"
1901,1.04
1902,1.123
1903,0.833
1904,0.944
1905,1.127
1906,1.364
1907,1.191
1908,1.099
1909,0.996
1910,1.15
1911,0.982
1912,0.938
1913,0.931
1914,0.97
1915,1.171
1916,0.923
1917,0.862
1918,0.86
1919,1.064
1920,1.089
1921,0.997
1922,0.908
1923,1.067
1924,1.011
1925,1.24
1926,0.79
1927,1.072
1928,0.981
1929,1.087
1930,0.817
1931,0.852
1932,0.872
1933,0.896
1934,0.76
1935,0.97
1936,0.621
1937,1.169
1938,1.149
1939,1.12
1940,0.967
1941,0.85
1942,1.387
1943,0.787
1944,0.726
1945,1.33
1946,0.763
1947,1.299
1948,1.22
1949,1.034
1950,0.875
1951,1.11
1952,0.565
1953,0.793
1954,0.802
1955,1.192
1956,1.201
1957,1.104
1958,1.084
1959,0.771
1960,1.144
1961,0.764
1962,1.358
1963,1.048
1964,1.107
1965,0.922
1966,0.811
1967,0.891
1968,0.929
1969,1.298
1970,0.934
1971,1.014
1972,0.625
1973,1.017
1974,0.877
1975,0.886
1976,0.746
1977,0.928
1978,1.318
1979,1.073
1980,1.301
1981,1.269
1982,1.413
1983,0.912
1984,0.521
1985,1.332
1986,1.042
1987,0.959
1988,0.704
1989,1.005
1990,0.813
1991,1.029
1992,1.011
1993,1.353
1994,0.973
1995,0.99
1996,0.686
1997,0.873
1998,0.931
1999,1.068
2000,1.135
2001,0.827
2002,1.013
2003,1.134
2004,1.184
2005,0.794
2006,0.907
2007,0.772
2008,1.08
2009,1.062
2010,1.339
2011,1.185
2012,0.709
2013,0.791
2014,0.815
2015,1.385
2016,NA
2017,NA
2018,NA
2019,NA
