"res","samp.depth"
0.971,1
0.831,1
1.011,1
1.007,1
0.832,1
0.863,1
1.235,1
1.272,1
1.256,1
1.019,1
0.91,2
0.993,2
0.974,2
0.941,2
0.949,2
0.848,2
0.985,2
0.843,2
0.969,2
1.109,2
1.174,2
1.124,2
0.863,2
1.042,2
1.26,2
1.097,2
1.066,2
1.047,2
0.911,2
0.977,2
0.941,2
1.282,2
1.001,2
1.235,2
0.957,2
0.941,2
0.842,3
1.119,3
1.029,4
0.936,4
1.059,4
0.696,4
1.05,4
1.063,5
0.935,6
1.066,8
1.192,8
0.951,9
0.835,11
1.161,14
0.959,16
1.22,17
1.071,22
0.788,26
1.09,30
0.826,33
0.931,35
1.171,36
1.04,38
1.132,40
0.748,43
1.056,45
0.875,46
0.897,50
0.947,50
1.071,52
0.975,54
1.055,56
1.069,58
0.809,60
1.145,63
1.029,63
1.058,64
0.833,66
0.976,67
1.262,68
0.943,69
1.148,70
1.158,71
1.221,73
0.968,81
1.039,81
0.948,83
0.935,88
0.96,93
1.085,96
1.061,97
0.97,98
1.183,98
0.799,99
1.205,101
0.987,101
1.009,102
0.9,102
0.788,103
0.791,104
0.678,104
0.964,104
1.042,104
0.955,104
1.142,105
0.968,106
1.171,106
1.11,106
1.082,106
0.998,106
1.021,106
0.833,106
1.184,106
0.882,106
1.112,107
1.128,108
1.078,108
0.96,108
0.811,108
0.919,108
1.01,108
0.875,108
0.936,108
0.988,108
1.095,109
0.765,109
1.119,109
1.379,109
0.826,109
1.073,109
1.08,109
0.979,108
1.004,108
0.561,108
1.005,108
1.086,107
1.106,106
0.993,106
0.972,106
0.996,106
0.871,104
1.015,104
1.202,102
0.918,99
0.903,29
1.01,23
0.997,22
1.03,20
0.965,14
0.774,10
1.078,7
1.386,3
