"Year","IN_Mel_ACSA"
1901,NA
1902,NA
1903,NA
1904,NA
1905,NA
1906,NA
1907,NA
1908,NA
1909,NA
1910,NA
1911,NA
1912,NA
1913,NA
1914,NA
1915,NA
1916,NA
1917,0.957
1918,1.058
1919,1.056
1920,1.005
1921,0.78
1922,0.813
1923,1.006
1924,1.205
1925,1.055
1926,0.829
1927,0.884
1928,1.074
1929,0.747
1930,1.075
1931,1.118
1932,1.057
1933,0.931
1934,1.184
1935,0.832
1936,1.388
1937,1.003
1938,1.35
1939,1.092
1940,1.022
1941,0.932
1942,0.906
1943,0.975
1944,1.001
1945,0.981
1946,1.07
1947,1.05
1948,1.015
1949,0.99
1950,0.991
1951,0.853
1952,0.833
1953,0.826
1954,0.862
1955,1.157
1956,1.043
1957,1.107
1958,0.915
1959,0.715
1960,1.075
1961,1.006
1962,1.034
1963,1.013
1964,0.846
1965,1.138
1966,1.009
1967,0.923
1968,1.086
1969,1.001
1970,0.4
1971,1.043
1972,0.969
1973,1.085
1974,1.104
1975,0.987
1976,1.109
1977,0.846
1978,0.922
1979,1.044
1980,1.082
1981,1.085
1982,1.017
1983,0.835
1984,1.002
1985,1.169
1986,0.948
1987,1.031
1988,0.36
1989,1.186
1990,1.18
1991,0.734
1992,1.278
1993,1.02
1994,1.175
1995,1.07
1996,0.935
1997,1.211
1998,1.202
1999,0.971
2000,1.2
2001,1.221
2002,0.811
2003,1.057
2004,1.115
2005,1.036
2006,0.967
2007,0.336
2008,0.812
2009,1.023
2010,1.3
2011,0.693
2012,0.638
2013,0.977
2014,1.157
2015,1.336
2016,0.9
2017,NA
2018,NA
2019,NA
