"Year","KY_Mam_LITU"
1901,0.943
1902,1.162
1903,1.182
1904,1.154
1905,0.737
1906,0.89
1907,0.965
1908,0.825
1909,1.267
1910,1.118
1911,0.982
1912,1.121
1913,1.027
1914,0.62
1915,1.208
1916,1.179
1917,1.018
1918,0.844
1919,0.95
1920,1.05
1921,0.985
1922,1.223
1923,1.225
1924,1.105
1925,1.032
1926,0.772
1927,1.023
1928,1.365
1929,1.121
1930,0.779
1931,0.691
1932,1.003
1933,0.824
1934,1.009
1935,1.085
1936,0.683
1937,1.013
1938,1.025
1939,1.07
1940,0.752
1941,1.046
1942,0.935
1943,0.967
1944,0.849
1945,0.953
1946,0.982
1947,1.101
1948,0.852
1949,1.139
1950,1.022
1951,0.991
1952,0.765
1953,0.915
1954,0.854
1955,1.027
1956,0.883
1957,1.086
1958,0.941
1959,0.829
1960,1.159
1961,1.058
1962,0.971
1963,0.516
1964,1.079
1965,0.898
1966,0.915
1967,1.03
1968,1.22
1969,1.101
1970,0.931
1971,1.441
1972,1.228
1973,1.41
1974,1.351
1975,1.083
1976,0.849
1977,1.124
1978,0.928
1979,0.993
1980,1.455
1981,1.059
1982,1.36
1983,0.959
1984,0.611
1985,1.364
1986,0.848
1987,1.146
1988,0.668
1989,0.959
1990,0.847
1991,0.674
1992,1.158
1993,1.271
1994,0.465
1995,1.204
1996,0.977
1997,1.062
1998,1.374
1999,1.038
2000,0.715
2001,0.999
2002,0.912
2003,1.007
2004,1.108
2005,0.967
2006,0.892
2007,0.664
2008,0.994
2009,0.857
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
