"Year","LishaK_QUAL"
1901,1.055
1902,1.202
1903,0.987
1904,1.198
1905,0.9
1906,0.998
1907,0.969
1908,1.016
1909,1.027
1910,1.001
1911,0.737
1912,0.895
1913,0.904
1914,0.955
1915,1.106
1916,0.991
1917,1.085
1918,0.835
1919,0.997
1920,1.247
1921,1.061
1922,0.993
1923,1.005
1924,1.145
1925,1.114
1926,1.015
1927,1.065
1928,1.125
1929,0.956
1930,1.005
1931,1.165
1932,1.135
1933,0.95
1934,1.117
1935,1.109
1936,0.786
1937,1.195
1938,0.921
1939,1.004
1940,1.031
1941,0.694
1942,1.046
1943,1.08
1944,0.97
1945,1.085
1946,1.032
1947,1.161
1948,0.81
1949,0.862
1950,1.049
1951,1.079
1952,1.045
1953,1.136
1954,0.966
1955,0.894
1956,1.051
1957,1.077
1958,1.017
1959,0.9
1960,0.878
1961,1.035
1962,0.832
1963,0.942
1964,0.936
1965,0.91
1966,0.962
1967,1.011
1968,0.961
1969,1.203
1970,0.853
1971,1.051
1972,1.186
1973,1.002
1974,1.052
1975,1.204
1976,0.856
1977,0.813
1978,0.964
1979,1.057
1980,1.129
1981,0.836
1982,0.86
1983,0.93
1984,1.2
1985,0.927
1986,0.859
1987,0.803
1988,0.935
1989,1.211
1990,1.032
1991,0.813
1992,1.169
1993,0.947
1994,1.026
1995,0.997
1996,0.998
1997,0.86
1998,1.144
1999,0.971
2000,1.23
2001,0.926
2002,1.113
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
